ETER_ID,institution_name,English Institution Name,reference_year,country_code,latitude,longitude,total_current_expenditure_PPP,basic_government_allocation_PPP,private_third_party_funding_PPP,total_current_revenues_PPP,total_academic_staff_FTE,total_students_enrolled_ISCED_5-7,total_students_enrolled_ISCED_8,ReD_expenditure_PPP,erasmus_incoming_students_ISCED_5,erasmus_incoming_students_ISCED_6,erasmus_incoming_students_ISCED_7,erasmus_incoming_students_ISCED_8,erasmus_incoming_staff,TOTAL_ISCED8 ,staff_to_student_ratio,doctorate_to_stundents_ratio,doctorate_to_accademic_staff,research_income,proportion_of_international_students,proportion_international_staff
AT0046,Pädagogische Hochschule Wien,University College of Teacher Education in Vienna,2015,AT,"48,164943","16,374042",m,m,m,m,"193,7384","2992,967431",a,m,2,44,13,1,6,#VALUE!,"0,0785942995",#VALUE!,"12,72356909",#VALUE!,#VALUE!,0
AT0047,Kirchliche Pädagogische Hochschule Wien/Krems,Christian University College of Teacher Education Vienna/Krems,2015,AT,"48,294276","16,380996",m,m,m,m,"150,7333","2618,906061",a,m,0,44,6,a,3,59,"0,06473120889",#VALUE!,"15,44849875",#VALUE!,#VALUE!,"0,03096959612"
AT0048,Hochschule für Agrar- und Umweltpädagogik Wien,University College for Agrarian and Environmental Pedagogy,2015,AT,"48,184207","16,266374",m,m,m,m,"28,11","490,3333333",a,m,0,4,0,a,2,50,"0,05755582541",#VALUE!,"17,37443591",#VALUE!,"0,02252849038","0,01990270232"
AT0049,Fachhochschule Burgenland GmbH,University of Applied Sciences Burgenland,2015,AT,"47,829455","16,535033",m,m,m,m,"211,25","2505,316667",a,m,0,21,16,3,11,4,"0,05732834806",#VALUE!,"17,44337721",#VALUE!,"0,101971448","0,07114905727"
AT0050,Fachhochschule Salzburg GmbH,Salzburg University of Applied Sciences,2015,AT,"47,723353","13,087109",m,m,m,m,"449,5","2759,416667",a,m,0,81,17,2,7,37,"0,08432067802",#VALUE!,"11,85948718",#VALUE!,"0,001596604554","0,05207100592"
AT0051,Fachhochschule St. Pölten GmbH,University of Applied Sciences St. Pölten,2015,AT,"48,214041","15,631899",m,m,m,m,"284,75","2380,42619",a,m,0,48,19,a,21,98,"0,1628967475",#VALUE!,"6,13885799",#VALUE!,"0,01340863105","0,01557285873"
AT0052,CAMPUS 02 Fachhochschule der Wirtschaft GmbH,CAMPUS 02 University of Applied Sciences,2015,AT,"47,08934","15,440102",m,m,m,m,"165,5","1188,792857",a,m,0,15,2,a,4,67,"0,1196214363",#VALUE!,"8,359705673",#VALUE!,"0,04116909837","0,07374890255"
AT0053,Fachhochschule des bfi Wien GmbH,University of Applied Science bfi Vienna Ltd.,2015,AT,"48,219207","16,4033",m,m,m,m,"230,5","2096,917431",a,m,0,58,24,1,3,17,"0,1392168526",#VALUE!,"7,183038412",#VALUE!,"0,05635969261","0,02416918429"
AT0054,MCI - Management Center Innsbruck Internationale Hochschule GmbH,Management Center Innsbruck Ltd.,2015,AT,"47,269325","11,398077",m,m,m,m,316,"2860,675841",a,m,2,96,66,a,2,82,"0,10992326",#VALUE!,"9,097255667",#VALUE!,"0,008107138482","0,01301518438"
AT0055,"Bundesministerium für Landesverteidigung und Sport, Sektion II, Gruppe Ausbildungswesen, Ausbildung A",Federal Ministry of Defence,2015,AT,"47,79","16,23",m,m,m,m,"62,25",102,a,m,0,0,0,a,0,164,"0,1104634071",#VALUE!,"9,052771649",#VALUE!,"0,02866455501","0,006329113924"
AT0056,FHS Kufstein Tirol Bildungs GmbH,Kufstein University of Applied Sciences,2015,AT,"47,584095","12,173451",m,m,m,m,"160,25","1656,583333",a,m,2,98,4,a,4,0,"0,6102941176",#VALUE!,"1,638554217",#VALUE!,"1,607843137",0
AT0057,FH OÖ Studienbetriebs GmbH,University of Applied Sciences Upper Austria,2015,AT,"48,154925","14,01125",m,m,m,m,"950,5","5473,008333",a,m,2,109,56,4,42,104,"0,09673524825",#VALUE!,"10,3374935",#VALUE!,0,"0,02496099844"
AT0058,Fachhochschule Campus Wien,FH Campus Wien - University of Applied Sciences,2015,AT,"48,157933","16,381835",m,m,m,m,"628,75","5107,566667",a,m,0,61,14,1,12,167,"0,1736704829",#VALUE!,"5,758030861",#VALUE!,"0,01900234636","0,04418726986"
AT0059,Lauder Business School,Lauder Business School,2015,AT,"48,242678","16,352458",m,m,m,m,30,"329,8333333",a,m,0,0,0,a,0,75,"0,1231016727",#VALUE!,"8,123366468",#VALUE!,"0,03269658742","0,01908548708"
AT0060,FHG – Zentrum für Gesundheitsberufe Tirol GmbH,Health University of Applied Sciences Tyrol,2015,AT,"47,258669","11,379587",m,m,m,m,161,"719,3118174",a,m,0,3,0,a,0,0,"0,09095502779",#VALUE!,"10,99444444",#VALUE!,"0,2273875695",0
AT0061,FFH Gesellschaft zur Erhaltung und Durchführung von Fachhochschul-Studiengängen mbH,Ferdinand Porsche Fern FH-Studiengänge,2015,AT,"47,812814","16,23836",m,m,m,m,47,"651,7",a,m,a,a,a,a,a,3,"0,2238250451",#VALUE!,"4,467775263",#VALUE!,0,0
AT0062,FHWien der WKW,University of Applied Sciences for Management & Communication,2015,AT,"48,226615","16,34888",m,m,m,m,285,"2940,666667",a,m,1,80,1,a,2,#VALUE!,"0,07211907319",#VALUE!,"13,86595745",#VALUE!,"0,004603345097",#VALUE!
AT0063,Fachhochschule Vorarlberg GmbH,Vorarlberg University of Applied Sciences,2015,AT,"47,406375","9,744306",m,m,m,m,"253,75","1398,666667",a,m,0,67,9,0,2,82,"0,09691679891",#VALUE!,"10,31812865",#VALUE!,#VALUE!,"0,00701754386"
AT0064,Fachhochschule Technikum Wien,University of Applied Sciences Technikum Vienna,2015,AT,"48,239347","16,377303",m,m,m,m,"443,5","3951,26896",a,m,0,23,28,0,22,76,"0,1814227836",#VALUE!,"5,511986864",#VALUE!,"0,05862726406","0,007881773399"
AT0065,IMC Fachhochschule Krems GmbH,IMC University of Applied Sciences Krems,2015,AT,"48,408799","15,588888",m,m,m,m,"258,75","2575,976955",a,m,2,60,16,1,9,51,"0,1122424225",#VALUE!,"8,909287396",#VALUE!,"0,01923432719","0,0496054115"
AT0066,Fachhochschule Wiener Neustadt für Wirtschaft und Technik GmbH,University of Applied Sciences Wiener Neustadt for Business and Engineering,2015,AT,"47,838749","16,247791",m,m,m,m,446,"3519,414286",a,m,0,26,9,a,3,78,"0,1004473272",#VALUE!,"9,955466493",#VALUE!,"0,01979831376","0,0347826087"
AT0067,Fachhochschule Kärnten,Carinthia University of Applied Sciences,2015,AT,"46,797385","13,501077",m,m,m,m,"667,25","2341,15",a,m,1,28,24,1,6,35,"0,1267256321",#VALUE!,"7,891063421",#VALUE!,"0,02216277871","0,006726457399"
AT0068,FH JOANNEUM Gesellschaft mbH,University of Applied Sciences Joanneum,2015,AT,"47,069076","15,409886",m,m,m,m,"787,5","4106,5",a,m,8,90,54,3,27,53,"0,2850095039",#VALUE!,"3,508654927",#VALUE!,"0,01494991778","0,008992131885"
AT0069,Danube Private University,Danube Private University,2015,AT,"48,400414","15,575868",m,m,m,m,"68,87",1024,a,m,a,a,a,a,a,152,"0,1917691465",#VALUE!,"5,214603175",#VALUE!,"0,01290636795","0,03428571429"
