x,y,institution_name,ETER_ID,reference_year,country_code,missing_perc,cons_perc
-43846605.40279096,-4951.092475760704,École des Avocats du Grand Ouest,FR0067,2017,FR,0.6,0.0
-43846605.40279096,-4951.092475760704,École nationale de la statistique et de l'analyse de l'information,FR0068,2017,FR,0.5,0.2
-43846605.40279096,-4951.092475760704,"Institut supérieur des sciences agronomiques, agroalimentaires, horticoles et du paysage",FR0069,2017,FR,0.6,0.2
-43846604.20615483,19158.013318013596,Université de Tours,FR0070,2017,FR,0.6,0.2
-43846605.40279096,-4951.092475760704,École nationale supérieure d'architecture de Grenoble,FR0071,2017,FR,0.6,0.0
-43846605.40279096,-4951.092475760704,École supérieure d'art de Grenoble,FR0072,2017,FR,0.6,0.0
-43846605.14884357,165.2869529702035,Grenoble INP,FR0076,2017,FR,0.5,0.2
-43846605.40279096,-4951.092475760704,Communauté Université Grenoble-Alpes ,FR0077,2017,FR,0.4,0.2
-43846605.40279096,-4951.092475760704,École supérieure d'art et design Saint-Étienne,FR0079,2017,FR,0.6,0.0
-43846605.35606979,-4009.7823645305375,École nationale d'ingénieurs de Saint-Étienne,FR0080,2017,FR,0.4,0.2
-43846605.40279096,-4951.092475760704,Telecom Saint-Étienne,FR0081,2017,FR,0.6,0.2
-43846604.51825623,12869.982002952758,Université Jean Monnet,FR0082,2017,FR,0.6,0.2
-43846605.40279096,-4951.092475760704,École nationale supérieure d'architecture de Saint-Étienne,FR0083,2017,FR,0.6,0.0
-43846605.29954905,-2871.0364460720125,Ecole centrale de Nantes,FR0084,2017,FR,0.5,0.2
-43846605.40279096,-4951.092475760704,École nationale supérieure d'architecture de Nantes,FR0085,2017,FR,0.6,0.0
-43846605.40279096,-4951.092475760704,École supérieure des beaux-arts de Nantes Métropole,FR0086,2017,FR,0.6,0.0
-43846603.72241253,28904.1627111954,Université de Nantes,FR0087,2017,FR,0.6,0.2
-43846605.40279096,-4951.092475760704,Institut régional d'administration de Nantes,FR0088,2017,FR,0.8,0.0
-43846605.40279096,-4951.092475760704,École supérieure du bois,FR0091,2017,FR,0.5,0.2
-43846604.66163677,9981.236884061036,Université d'Orléans,FR0092,2017,FR,0.6,0.2
-43846605.40279096,-4951.092475760704,École supérieure d'art et de design d'Orléans,FR0093,2017,FR,0.6,0.0
-43846605.40279096,-4951.092475760704,École nationale d'administration pénitentiaire,FR0094,2017,FR,0.6,0.0
-43846605.40279096,-4951.092475760704,École régionale des beaux-arts d'Angers,FR0095,2017,FR,0.6,0.0
-43846605.40279096,-4951.092475760704,École supérieure d'agriculture d'Angers,FR0096,2017,FR,0.6,0.2
-43846605.40279096,-4951.092475760704,École supérieure d'électronique de l'Ouest,FR0097,2017,FR,0.5,0.2
-43846605.40279096,-4951.092475760704,Université catholique de l'Ouest,FR0098,2017,FR,0.7,0.2
-43846604.33755812,16510.57863017875,Université d'Angers,FR0099,2017,FR,0.6,0.2
-43846605.40279096,-4951.092475760704,École supérieure angevine en informatique et productique,FR0100,2017,FR,0.5,0.2
-43846605.40279096,-4951.092475760704,École supérieure d'art et de design de Reims,FR0101,2017,FR,0.6,0.0
-43846604.34577393,16345.05164028022,Université de Reims Champagne-Ardenne,FR0102,2017,FR,0.6,0.2
-43846605.40279096,-4951.092475760704,École nationale supérieure d'architecture de Nancy,FR0103,2017,FR,0.6,0.0
-43846605.40279096,-4951.092475760704,École nationale supérieure d'art de Nancy,FR0104,2017,FR,0.6,0.0
-43846602.67509608,50004.86532109111,Université de Lorraine,FR0105,2017,FR,0.6,0.2
-43846605.40279096,-4951.092475760704,École spéciale militaire de Saint-Cyr,FR0106,2017,FR,0.5,0.2
-43846605.40279096,-4951.092475760704,École militaire interarmes,FR0107,2017,FR,0.6,0.0
-43846605.01427274,2876.5392754647164,Université de Bretagne-Sud,FR0108,2017,FR,0.6,0.2
-43846605.40279096,-4951.092475760704,Institut régional d'administration de Metz,FR0110,2017,FR,0.8,0.0
-43846605.40279096,-4951.092475760704,École supérieure d'ingénieurs des travaux de la construction de Metz,FR0111,2017,FR,0.5,0.2
-43846605.38546849,-4602.089786215621,École nationale supérieure de chimie de Lille,FR0112,2017,FR,0.4,0.2
-43846605.40279096,-4951.092475760704,École nationale supérieure d'architecture et de paysage de Lille,FR0113,2017,FR,0.6,0.0
-43846605.38527051,-4598.101184049392,École nationale supérieure des arts et industries textiles,FR0114,2017,FR,0.4,0.2
-43846605.40279096,-4951.092475760704,École nationale supérieure des mines de Douai,FR0116,2017,FR,0.6,0.2
-43846605.40279096,-4951.092475760704,Groupe Institut supérieur d'agriculture de Lille,FR0117,2017,FR,0.6,0.2
-43846605.40279096,-4951.092475760704,Institut catholique de Lille,FR0118,2017,FR,0.7,0.2
