institution_name,ETER_ID,reference_year,country_code,missing_perc,zero_value,c_value,s_value,nc_value,cons_perc,timeillnes_occ
École nationale supérieure de chimie de Rennes,FR0057,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
École nationale supérieure d'architecture de Bretagne,FR0058,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
École régionale des beaux-arts de Rennes,FR0059,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
École des hautes études en santé publique,FR0060,2017,FR,0.4,0.0,0.0,0.0,0.0,0.2,7.0
Institut national des sciences appliquées de Rennes,FR0061,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
Université de Rennes 1,FR0062,2017,FR,0.6,1.0,0.0,0.0,0.0,0.2,7.0
Université Rennes 2,FR0063,2017,FR,0.5,1.0,0.0,0.0,0.0,0.2,7.0
ECAM Rennes Louis de Broglie,FR0064,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
Institut catholique de Rennes,FR0065,2017,FR,0.8,0.0,0.0,0.0,0.0,0.0,7.0
École des métiers de l'environnement,FR0066,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
École des Avocats du Grand Ouest,FR0067,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
École nationale de la statistique et de l'analyse de l'information,FR0068,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
Institut supérieur des sciences agronomiques. agroalimentaires. horticoles et du paysage,FR0069,2017,FR,0.6,0.0,0.0,0.0,0.0,0.2,7.0
Université de Tours,FR0070,2017,FR,0.6,1.0,0.0,0.0,0.0,0.2,7.0
École nationale supérieure d'architecture de Grenoble,FR0071,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
École supérieure d'art de Grenoble,FR0072,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
Grenoble INP,FR0076,2017,FR,0.5,2.0,0.0,0.0,0.0,0.2,7.0
Communauté Université Grenoble-Alpes ,FR0077,2017,FR,0.4,0.0,0.0,0.0,0.0,0.2,7.0
École supérieure d'art et design Saint-Étienne,FR0079,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
École nationale d'ingénieurs de Saint-Étienne,FR0080,2017,FR,0.4,0.0,0.0,0.0,0.0,0.2,7.0
Telecom Saint-Étienne,FR0081,2017,FR,0.6,0.0,0.0,0.0,0.0,0.2,7.0
Université Jean Monnet,FR0082,2017,FR,0.6,1.0,0.0,0.0,0.0,0.2,7.0
École nationale supérieure d'architecture de Saint-Étienne,FR0083,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
Ecole centrale de Nantes,FR0084,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
École nationale supérieure d'architecture de Nantes,FR0085,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
École supérieure des beaux-arts de Nantes Métropole,FR0086,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
Université de Nantes,FR0087,2017,FR,0.6,1.0,0.0,0.0,0.0,0.2,7.0
Institut régional d'administration de Nantes,FR0088,2017,FR,0.8,0.0,0.0,0.0,0.0,0.0,7.0
École supérieure du bois,FR0091,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
Université d'Orléans,FR0092,2017,FR,0.6,1.0,0.0,0.0,0.0,0.2,7.0
École supérieure d'art et de design d'Orléans,FR0093,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
École nationale d'administration pénitentiaire,FR0094,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
École régionale des beaux-arts d'Angers,FR0095,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
École supérieure d'agriculture d'Angers,FR0096,2017,FR,0.6,0.0,0.0,0.0,0.0,0.2,7.0
École supérieure d'électronique de l'Ouest,FR0097,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
Université catholique de l'Ouest,FR0098,2017,FR,0.7,1.0,0.0,0.0,0.0,0.2,7.0
Université d'Angers,FR0099,2017,FR,0.6,1.0,0.0,0.0,0.0,0.2,7.0
École supérieure angevine en informatique et productique,FR0100,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
École supérieure d'art et de design de Reims,FR0101,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
Université de Reims Champagne-Ardenne,FR0102,2017,FR,0.6,1.0,0.0,0.0,0.0,0.2,7.0
École nationale supérieure d'architecture de Nancy,FR0103,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
École nationale supérieure d'art de Nancy,FR0104,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
Université de Lorraine,FR0105,2017,FR,0.6,1.0,0.0,0.0,0.0,0.2,7.0
École spéciale militaire de Saint-Cyr,FR0106,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
École militaire interarmes,FR0107,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
Université de Bretagne-Sud,FR0108,2017,FR,0.6,1.0,0.0,0.0,0.0,0.2,7.0
Institut régional d'administration de Metz,FR0110,2017,FR,0.8,0.0,0.0,0.0,0.0,0.0,7.0
École supérieure d'ingénieurs des travaux de la construction de Metz,FR0111,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
École nationale supérieure de chimie de Lille,FR0112,2017,FR,0.4,0.0,0.0,1.0,0.0,0.2,7.0
École nationale supérieure d'architecture et de paysage de Lille,FR0113,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
École nationale supérieure des arts et industries textiles,FR0114,2017,FR,0.4,0.0,0.0,0.0,0.0,0.2,7.0
École nationale supérieure des mines de Douai,FR0116,2017,FR,0.6,0.0,0.0,0.0,0.0,0.2,7.0
Groupe Institut supérieur d'agriculture de Lille,FR0117,2017,FR,0.6,0.0,0.0,0.0,0.0,0.2,7.0
Institut catholique de Lille,FR0118,2017,FR,0.7,0.0,0.0,0.0,0.0,0.2,7.0
Institut supérieur de l'électronique et du numérique Lille,FR0119,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
Hautes études d'ingénieur,FR0120,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
École centrale de Lille,FR0121,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
Université de Valenciennes et du Hainaut-Cambrésis,FR0122,2017,FR,0.6,1.0,0.0,0.0,0.0,0.2,7.0
Institut régional d'administration de Lille,FR0126,2017,FR,0.8,0.0,0.0,0.0,0.0,0.0,7.0
Université du Littoral Côte d'Opale,FR0127,2017,FR,0.6,1.0,0.0,0.0,0.0,0.2,7.0
IXAD École des avocats de la région Nord-Ouest,FR0128,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
